Original_Filename,Original_Path,Term_ID,Primary_Domain,Target_KG,Target_Path,Migration_Action,Priority,Blockchain_Relevance
Cultural Provenance Record.md,/home/user/logseq/mainKnowledgeGraph/pages/Cultural Provenance Record.md,,Creative/NFT,blockchain-knowledge-graph,/home/user/logseq/mainKnowledgeGraph/blockchain-knowledge-graph/pages/Cultural Provenance Record.md,MOVE,LOW-MEDIUM,MEDIUM
Current Sensor.md,/home/user/logseq/mainKnowledgeGraph/pages/Current Sensor.md,RB-0083,Robotics,robotics-knowledge-graph,/home/user/logseq/mainKnowledgeGraph/robotics-knowledge-graph/pages/Current Sensor.md,MOVE,EXCLUDE,NONE
DAO.md,/home/user/logseq/mainKnowledgeGraph/pages/DAO.md,,Blockchain,REVIEW,PENDING_REVIEW,REVIEW,LOW,UNKNOWN
DeFiProtocol.md,/home/user/logseq/mainKnowledgeGraph/pages/DeFiProtocol.md,,Blockchain,REVIEW,PENDING_REVIEW,REVIEW,LOW,UNKNOWN
Decentralization.md,/home/user/logseq/mainKnowledgeGraph/pages/Decentralization.md,,Blockchain,blockchain-knowledge-graph,/home/user/logseq/mainKnowledgeGraph/blockchain-knowledge-graph/pages/Decentralization.md,MOVE,HIGH,HIGH
Depth Camera.md,/home/user/logseq/mainKnowledgeGraph/pages/Depth Camera.md,RB-0077,Robotics,robotics-knowledge-graph,/home/user/logseq/mainKnowledgeGraph/robotics-knowledge-graph/pages/Depth Camera.md,MOVE,EXCLUDE,NONE
Dexterity.md,/home/user/logseq/mainKnowledgeGraph/pages/Dexterity.md,RB-0037,Robotics,robotics-knowledge-graph,/home/user/logseq/mainKnowledgeGraph/robotics-knowledge-graph/pages/Dexterity.md,MOVE,EXCLUDE,NONE
Digital Asset Workflow.md,/home/user/logseq/mainKnowledgeGraph/pages/Digital Asset Workflow.md,,Economics,REVIEW,PENDING_REVIEW,REVIEW,LOW,UNKNOWN
Digital Citizenship.md,/home/user/logseq/mainKnowledgeGraph/pages/Digital Citizenship.md,,AI/ML,REVIEW,PENDING_REVIEW,REVIEW,LOW,UNKNOWN
Digital Evidence Chain of Custody.md,/home/user/logseq/mainKnowledgeGraph/pages/Digital Evidence Chain of Custody.md,,Governance,REVIEW,PENDING_REVIEW,REVIEW,LOW,UNKNOWN
Digital Jurisdiction.md,/home/user/logseq/mainKnowledgeGraph/pages/Digital Jurisdiction.md,,Governance,REVIEW,PENDING_REVIEW,REVIEW,LOW,UNKNOWN
Digital Performance Capture.md,/home/user/logseq/mainKnowledgeGraph/pages/Digital Performance Capture.md,,Creative/NFT,blockchain-knowledge-graph,/home/user/logseq/mainKnowledgeGraph/blockchain-knowledge-graph/pages/Digital Performance Capture.md,MOVE,LOW-MEDIUM,MEDIUM
Digital Taxonomy Registry.md,/home/user/logseq/mainKnowledgeGraph/pages/Digital Taxonomy Registry.md,,Governance,REVIEW,PENDING_REVIEW,REVIEW,LOW,UNKNOWN
Discovery Layer.md,/home/user/logseq/mainKnowledgeGraph/pages/Discovery Layer.md,,Infrastructure,REVIEW,PENDING_REVIEW,REVIEW,MEDIUM,UNKNOWN
Dispute Resolution Mechanism.md,/home/user/logseq/mainKnowledgeGraph/pages/Dispute Resolution Mechanism.md,,Governance,REVIEW,PENDING_REVIEW,REVIEW,LOW,UNKNOWN
"Diversity, Non-Discrimination, and Fairness.md","/home/user/logseq/mainKnowledgeGraph/pages/Diversity, Non-Discrimination, and Fairness.md",,AI/ML,REVIEW,PENDING_REVIEW,REVIEW,LOW,UNKNOWN
Double Spending.md,/home/user/logseq/mainKnowledgeGraph/pages/Double Spending.md,,Blockchain,blockchain-knowledge-graph,/home/user/logseq/mainKnowledgeGraph/blockchain-knowledge-graph/pages/Double Spending.md,MOVE,HIGH,HIGH
Dropout.md,/home/user/logseq/mainKnowledgeGraph/pages/Dropout.md,,AI/ML,ai-ml-knowledge-graph,/home/user/logseq/mainKnowledgeGraph/ai-ml-knowledge-graph/pages/Dropout.md,MOVE,MEDIUM,LOW
ERC20.md,/home/user/logseq/mainKnowledgeGraph/pages/ERC20.md,,Blockchain,REVIEW,PENDING_REVIEW,REVIEW,LOW,UNKNOWN
ETSI_Domain_AI___Governance.md,/home/user/logseq/mainKnowledgeGraph/pages/ETSI_Domain_AI___Governance.md,,ComputationAndIntelligenceDomain,REVIEW,PENDING_REVIEW,REVIEW,LOW,UNKNOWN
ETSI_Domain_Application___Creative.md,/home/user/logseq/mainKnowledgeGraph/pages/ETSI_Domain_Application___Creative.md,,Infrastructure,REVIEW,PENDING_REVIEW,REVIEW,MEDIUM,UNKNOWN
ETSI_Domain_Ethics_&_Law.md,/home/user/logseq/mainKnowledgeGraph/pages/ETSI_Domain_Ethics_&_Law.md,,Infrastructure,REVIEW,PENDING_REVIEW,REVIEW,MEDIUM,UNKNOWN
ETSI_Domain_Virtual_Economy.md,/home/user/logseq/mainKnowledgeGraph/pages/ETSI_Domain_Virtual_Economy.md,,Blockchain,REVIEW,PENDING_REVIEW,REVIEW,LOW,UNKNOWN
Edge AI Security (AI-0445).md,/home/user/logseq/mainKnowledgeGraph/pages/Edge AI Security (AI-0445).md,,AI/ML,ai-ml-knowledge-graph,/home/user/logseq/mainKnowledgeGraph/ai-ml-knowledge-graph/pages/Edge AI Security (AI-0445).md,MOVE,MEDIUM,LOW
Education Metaverse.md,/home/user/logseq/mainKnowledgeGraph/pages/Education Metaverse.md,,AI/ML,REVIEW,PENDING_REVIEW,REVIEW,LOW,UNKNOWN
Elliptic Curve Cryptography.md,/home/user/logseq/mainKnowledgeGraph/pages/Elliptic Curve Cryptography.md,,Blockchain,blockchain-knowledge-graph,/home/user/logseq/mainKnowledgeGraph/blockchain-knowledge-graph/pages/Elliptic Curve Cryptography.md,MOVE,HIGH,HIGH
Emotional Immersion.md,/home/user/logseq/mainKnowledgeGraph/pages/Emotional Immersion.md,,Robotics,REVIEW,PENDING_REVIEW,REVIEW,LOW,UNKNOWN
Environmental Sustainability Label.md,/home/user/logseq/mainKnowledgeGraph/pages/Environmental Sustainability Label.md,,Governance,REVIEW,PENDING_REVIEW,REVIEW,LOW,UNKNOWN
Epoch.md,/home/user/logseq/mainKnowledgeGraph/pages/Epoch.md,,AI/ML,ai-ml-knowledge-graph,/home/user/logseq/mainKnowledgeGraph/ai-ml-knowledge-graph/pages/Epoch.md,MOVE,MEDIUM,LOW
Fault Tolerance System.md,/home/user/logseq/mainKnowledgeGraph/pages/Fault Tolerance System.md,,Blockchain,REVIEW,PENDING_REVIEW,REVIEW,LOW,UNKNOWN
Feature Extraction.md,/home/user/logseq/mainKnowledgeGraph/pages/Feature Extraction.md,,AI/ML,ai-ml-knowledge-graph,/home/user/logseq/mainKnowledgeGraph/ai-ml-knowledge-graph/pages/Feature Extraction.md,MOVE,MEDIUM,LOW
Feedback Control.md,/home/user/logseq/mainKnowledgeGraph/pages/Feedback Control.md,RB-0047,Robotics,robotics-knowledge-graph,/home/user/logseq/mainKnowledgeGraph/robotics-knowledge-graph/pages/Feedback Control.md,MOVE,EXCLUDE,NONE
Feedforward Neural Network.md,/home/user/logseq/mainKnowledgeGraph/pages/Feedforward Neural Network.md,,AI/ML,ai-ml-knowledge-graph,/home/user/logseq/mainKnowledgeGraph/ai-ml-knowledge-graph/pages/Feedforward Neural Network.md,MOVE,MEDIUM,LOW
Finality.md,/home/user/logseq/mainKnowledgeGraph/pages/Finality.md,,Blockchain,blockchain-knowledge-graph,/home/user/logseq/mainKnowledgeGraph/blockchain-knowledge-graph/pages/Finality.md,MOVE,HIGH,HIGH
Force Control.md,/home/user/logseq/mainKnowledgeGraph/pages/Force Control.md,RB-0053,Robotics,robotics-knowledge-graph,/home/user/logseq/mainKnowledgeGraph/robotics-knowledge-graph/pages/Force Control.md,MOVE,EXCLUDE,NONE
Force Torque Sensor.md,/home/user/logseq/mainKnowledgeGraph/pages/Force Torque Sensor.md,RB-0067,Robotics,robotics-knowledge-graph,/home/user/logseq/mainKnowledgeGraph/robotics-knowledge-graph/pages/Force Torque Sensor.md,MOVE,EXCLUDE,NONE
Fork Choice Rule.md,/home/user/logseq/mainKnowledgeGraph/pages/Fork Choice Rule.md,,Blockchain,blockchain-knowledge-graph,/home/user/logseq/mainKnowledgeGraph/blockchain-knowledge-graph/pages/Fork Choice Rule.md,MOVE,HIGH,HIGH
Fractionalized NFT.md,/home/user/logseq/mainKnowledgeGraph/pages/Fractionalized NFT.md,,Creative/NFT,blockchain-knowledge-graph,/home/user/logseq/mainKnowledgeGraph/blockchain-knowledge-graph/pages/Fractionalized NFT.md,MOVE,LOW-MEDIUM,MEDIUM
Friction.md,/home/user/logseq/mainKnowledgeGraph/pages/Friction.md,RB-0042,Robotics,robotics-knowledge-graph,/home/user/logseq/mainKnowledgeGraph/robotics-knowledge-graph/pages/Friction.md,MOVE,EXCLUDE,NONE
Functional Safety.md,/home/user/logseq/mainKnowledgeGraph/pages/Functional Safety.md,RB-0102,Robotics,robotics-knowledge-graph,/home/user/logseq/mainKnowledgeGraph/robotics-knowledge-graph/pages/Functional Safety.md,MOVE,EXCLUDE,NONE
GDPR Article 22 Compliance.md,/home/user/logseq/mainKnowledgeGraph/pages/GDPR Article 22 Compliance.md,,AI/ML,REVIEW,PENDING_REVIEW,REVIEW,LOW,UNKNOWN
Game Engine.md,/home/user/logseq/mainKnowledgeGraph/pages/Game Engine.md,,Infrastructure,REVIEW,PENDING_REVIEW,REVIEW,MEDIUM,UNKNOWN
Generative Adversarial Network.md,/home/user/logseq/mainKnowledgeGraph/pages/Generative Adversarial Network.md,,AI/ML,ai-ml-knowledge-graph,/home/user/logseq/mainKnowledgeGraph/ai-ml-knowledge-graph/pages/Generative Adversarial Network.md,MOVE,MEDIUM,LOW
Generative Design Tool.md,/home/user/logseq/mainKnowledgeGraph/pages/Generative Design Tool.md,,AI/ML,ai-ml-knowledge-graph,/home/user/logseq/mainKnowledgeGraph/ai-ml-knowledge-graph/pages/Generative Design Tool.md,MOVE,MEDIUM,LOW
Gossip Protocol.md,/home/user/logseq/mainKnowledgeGraph/pages/Gossip Protocol.md,,Blockchain,blockchain-knowledge-graph,/home/user/logseq/mainKnowledgeGraph/blockchain-knowledge-graph/pages/Gossip Protocol.md,MOVE,HIGH,HIGH
Governance Model.md,/home/user/logseq/mainKnowledgeGraph/pages/Governance Model.md,,AI/ML,ai-ml-knowledge-graph,/home/user/logseq/mainKnowledgeGraph/ai-ml-knowledge-graph/pages/Governance Model.md,MOVE,MEDIUM,LOW
Gps.md,/home/user/logseq/mainKnowledgeGraph/pages/Gps.md,RB-0074,Robotics,robotics-knowledge-graph,/home/user/logseq/mainKnowledgeGraph/robotics-knowledge-graph/pages/Gps.md,MOVE,EXCLUDE,NONE
Gradient Descent.md,/home/user/logseq/mainKnowledgeGraph/pages/Gradient Descent.md,,AI/ML,ai-ml-knowledge-graph,/home/user/logseq/mainKnowledgeGraph/ai-ml-knowledge-graph/pages/Gradient Descent.md,MOVE,MEDIUM,LOW
Graph Neural Network.md,/home/user/logseq/mainKnowledgeGraph/pages/Graph Neural Network.md,,AI/ML,ai-ml-knowledge-graph,/home/user/logseq/mainKnowledgeGraph/ai-ml-knowledge-graph/pages/Graph Neural Network.md,MOVE,MEDIUM,LOW
Halving.md,/home/user/logseq/mainKnowledgeGraph/pages/Halving.md,,Blockchain,blockchain-knowledge-graph,/home/user/logseq/mainKnowledgeGraph/blockchain-knowledge-graph/pages/Halving.md,MOVE,HIGH,HIGH
Hand Guiding.md,/home/user/logseq/mainKnowledgeGraph/pages/Hand Guiding.md,RB-0104,Robotics,robotics-knowledge-graph,/home/user/logseq/mainKnowledgeGraph/robotics-knowledge-graph/pages/Hand Guiding.md,MOVE,EXCLUDE,NONE
Health Metaverse Application.md,/home/user/logseq/mainKnowledgeGraph/pages/Health Metaverse Application.md,,AI/ML,ai-ml-knowledge-graph,/home/user/logseq/mainKnowledgeGraph/ai-ml-knowledge-graph/pages/Health Metaverse Application.md,MOVE,MEDIUM,LOW
Human Interface Layer (HIL).md,/home/user/logseq/mainKnowledgeGraph/pages/Human Interface Layer (HIL).md,,Robotics,REVIEW,PENDING_REVIEW,REVIEW,LOW,UNKNOWN
Human-in-the-Loop.md,/home/user/logseq/mainKnowledgeGraph/pages/Human-in-the-Loop.md,,AI/ML,REVIEW,PENDING_REVIEW,REVIEW,LOW,UNKNOWN
Humanoid Robot.md,/home/user/logseq/mainKnowledgeGraph/pages/Humanoid Robot.md,,Robotics,robotics-knowledge-graph,/home/user/logseq/mainKnowledgeGraph/robotics-knowledge-graph/pages/Humanoid Robot.md,MOVE,EXCLUDE,NONE
IEEE 7000 Series Standards.md,/home/user/logseq/mainKnowledgeGraph/pages/IEEE 7000 Series Standards.md,,AI/ML,REVIEW,PENDING_REVIEW,REVIEW,LOW,UNKNOWN
Identity Graph.md,/home/user/logseq/mainKnowledgeGraph/pages/Identity Graph.md,,Governance,REVIEW,PENDING_REVIEW,REVIEW,LOW,UNKNOWN
Imu.md,/home/user/logseq/mainKnowledgeGraph/pages/Imu.md,RB-0073,Robotics,robotics-knowledge-graph,/home/user/logseq/mainKnowledgeGraph/robotics-knowledge-graph/pages/Imu.md,MOVE,EXCLUDE,NONE
Industrial Robot.md,/home/user/logseq/mainKnowledgeGraph/pages/Industrial Robot.md,,Robotics,robotics-knowledge-graph,/home/user/logseq/mainKnowledgeGraph/robotics-knowledge-graph/pages/Industrial Robot.md,MOVE,EXCLUDE,NONE
Inertia.md,/home/user/logseq/mainKnowledgeGraph/pages/Inertia.md,RB-0041,Robotics,robotics-knowledge-graph,/home/user/logseq/mainKnowledgeGraph/robotics-knowledge-graph/pages/Inertia.md,MOVE,EXCLUDE,NONE
Infrared Sensor.md,/home/user/logseq/mainKnowledgeGraph/pages/Infrared Sensor.md,RB-0078,Robotics,robotics-knowledge-graph,/home/user/logseq/mainKnowledgeGraph/robotics-knowledge-graph/pages/Infrared Sensor.md,MOVE,EXCLUDE,NONE
Intelligent Virtual Entity.md,/home/user/logseq/mainKnowledgeGraph/pages/Intelligent Virtual Entity.md,,AI/ML,REVIEW,PENDING_REVIEW,REVIEW,LOW,UNKNOWN
Iso 13482 Compliance.md,/home/user/logseq/mainKnowledgeGraph/pages/Iso 13482 Compliance.md,RB-0088,Robotics,robotics-knowledge-graph,/home/user/logseq/mainKnowledgeGraph/robotics-knowledge-graph/pages/Iso 13482 Compliance.md,MOVE,EXCLUDE,NONE
Jacobian Matrix.md,/home/user/logseq/mainKnowledgeGraph/pages/Jacobian Matrix.md,RB-0030,Robotics,robotics-knowledge-graph,/home/user/logseq/mainKnowledgeGraph/robotics-knowledge-graph/pages/Jacobian Matrix.md,MOVE,EXCLUDE,NONE
Legged Robot.md,/home/user/logseq/mainKnowledgeGraph/pages/Legged Robot.md,RB-0013,Robotics,robotics-knowledge-graph,/home/user/logseq/mainKnowledgeGraph/robotics-knowledge-graph/pages/Legged Robot.md,MOVE,EXCLUDE,NONE
Longest Chain Rule.md,/home/user/logseq/mainKnowledgeGraph/pages/Longest Chain Rule.md,,Blockchain,blockchain-knowledge-graph,/home/user/logseq/mainKnowledgeGraph/blockchain-knowledge-graph/pages/Longest Chain Rule.md,MOVE,HIGH,HIGH
Loyalty Token.md,/home/user/logseq/mainKnowledgeGraph/pages/Loyalty Token.md,,Economics,blockchain-knowledge-graph,/home/user/logseq/mainKnowledgeGraph/blockchain-knowledge-graph/pages/Loyalty Token.md,MOVE,HIGH,HIGH
Manipulator.md,/home/user/logseq/mainKnowledgeGraph/pages/Manipulator.md,,Robotics,robotics-knowledge-graph,/home/user/logseq/mainKnowledgeGraph/robotics-knowledge-graph/pages/Manipulator.md,MOVE,EXCLUDE,NONE
Marketplace.md,/home/user/logseq/mainKnowledgeGraph/pages/Marketplace.md,,Blockchain Governance,blockchain-knowledge-graph,/home/user/logseq/mainKnowledgeGraph/blockchain-knowledge-graph/pages/Marketplace.md,MOVE,MEDIUM-HIGH,MEDIUM-HIGH
Medical Robot.md,/home/user/logseq/mainKnowledgeGraph/pages/Medical Robot.md,RB-0016,Robotics,robotics-knowledge-graph,/home/user/logseq/mainKnowledgeGraph/robotics-knowledge-graph/pages/Medical Robot.md,MOVE,EXCLUDE,NONE
Merkle Tree.md,/home/user/logseq/mainKnowledgeGraph/pages/Merkle Tree.md,,Blockchain,blockchain-knowledge-graph,/home/user/logseq/mainKnowledgeGraph/blockchain-knowledge-graph/pages/Merkle Tree.md,MOVE,HIGH,HIGH
Metadata Standard.md,/home/user/logseq/mainKnowledgeGraph/pages/Metadata Standard.md,,AI/ML,REVIEW,PENDING_REVIEW,REVIEW,LOW,UNKNOWN
Metaverse Liability Model.md,/home/user/logseq/mainKnowledgeGraph/pages/Metaverse Liability Model.md,,AI/ML,ai-ml-knowledge-graph,/home/user/logseq/mainKnowledgeGraph/ai-ml-knowledge-graph/pages/Metaverse Liability Model.md,MOVE,MEDIUM,LOW
Metaverse Safety Protocol.md,/home/user/logseq/mainKnowledgeGraph/pages/Metaverse Safety Protocol.md,,Governance,REVIEW,PENDING_REVIEW,REVIEW,LOW,UNKNOWN
Metaverse.md,/home/user/logseq/mainKnowledgeGraph/pages/Metaverse.md,,Infrastructure,REVIEW,PENDING_REVIEW,REVIEW,MEDIUM,UNKNOWN
Mining Pool.md,/home/user/logseq/mainKnowledgeGraph/pages/Mining Pool.md,,Blockchain,blockchain-knowledge-graph,/home/user/logseq/mainKnowledgeGraph/blockchain-knowledge-graph/pages/Mining Pool.md,MOVE,HIGH,HIGH
Mining Reward.md,/home/user/logseq/mainKnowledgeGraph/pages/Mining Reward.md,,Blockchain,blockchain-knowledge-graph,/home/user/logseq/mainKnowledgeGraph/blockchain-knowledge-graph/pages/Mining Reward.md,MOVE,HIGH,HIGH
Model Capacity.md,/home/user/logseq/mainKnowledgeGraph/pages/Model Capacity.md,,AI/ML,ai-ml-knowledge-graph,/home/user/logseq/mainKnowledgeGraph/ai-ml-knowledge-graph/pages/Model Capacity.md,MOVE,MEDIUM,LOW
Model Parameters.md,/home/user/logseq/mainKnowledgeGraph/pages/Model Parameters.md,,AI/ML,ai-ml-knowledge-graph,/home/user/logseq/mainKnowledgeGraph/ai-ml-knowledge-graph/pages/Model Parameters.md,MOVE,MEDIUM,LOW
Model Predictive Control.md,/home/user/logseq/mainKnowledgeGraph/pages/Model Predictive Control.md,RB-0062,Robotics,robotics-knowledge-graph,/home/user/logseq/mainKnowledgeGraph/robotics-knowledge-graph/pages/Model Predictive Control.md,MOVE,EXCLUDE,NONE
Model Weights.md,/home/user/logseq/mainKnowledgeGraph/pages/Model Weights.md,,AI/ML,ai-ml-knowledge-graph,/home/user/logseq/mainKnowledgeGraph/ai-ml-knowledge-graph/pages/Model Weights.md,MOVE,MEDIUM,LOW
NFT.md,/home/user/logseq/mainKnowledgeGraph/pages/NFT.md,,Creative/NFT,blockchain-knowledge-graph,/home/user/logseq/mainKnowledgeGraph/blockchain-knowledge-graph/pages/NFT.md,MOVE,LOW-MEDIUM,MEDIUM
Native Token.md,/home/user/logseq/mainKnowledgeGraph/pages/Native Token.md,,Economics,blockchain-knowledge-graph,/home/user/logseq/mainKnowledgeGraph/blockchain-knowledge-graph/pages/Native Token.md,MOVE,HIGH,HIGH
Network Infrastructure.md,/home/user/logseq/mainKnowledgeGraph/pages/Network Infrastructure.md,,Infrastructure,REVIEW,PENDING_REVIEW,REVIEW,MEDIUM,UNKNOWN
Network Synchronization.md,/home/user/logseq/mainKnowledgeGraph/pages/Network Synchronization.md,,Blockchain,blockchain-knowledge-graph,/home/user/logseq/mainKnowledgeGraph/blockchain-knowledge-graph/pages/Network Synchronization.md,MOVE,HIGH,HIGH
Network Topology.md,/home/user/logseq/mainKnowledgeGraph/pages/Network Topology.md,,Blockchain,blockchain-knowledge-graph,/home/user/logseq/mainKnowledgeGraph/blockchain-knowledge-graph/pages/Network Topology.md,MOVE,HIGH,HIGH
Networking Layer.md,/home/user/logseq/mainKnowledgeGraph/pages/Networking Layer.md,,Infrastructure,REVIEW,PENDING_REVIEW,REVIEW,MEDIUM,UNKNOWN
Neural 3D Generation.md,/home/user/logseq/mainKnowledgeGraph/pages/Neural 3D Generation.md,,AI/ML,ai-ml-knowledge-graph,/home/user/logseq/mainKnowledgeGraph/ai-ml-knowledge-graph/pages/Neural 3D Generation.md,MOVE,MEDIUM,LOW
Nonlinear Control.md,/home/user/logseq/mainKnowledgeGraph/pages/Nonlinear Control.md,RB-0061,Robotics,robotics-knowledge-graph,/home/user/logseq/mainKnowledgeGraph/robotics-knowledge-graph/pages/Nonlinear Control.md,MOVE,EXCLUDE,NONE
On-Device Learning (AI-0433).md,/home/user/logseq/mainKnowledgeGraph/pages/On-Device Learning (AI-0433).md,,AI/ML,ai-ml-knowledge-graph,/home/user/logseq/mainKnowledgeGraph/ai-ml-knowledge-graph/pages/On-Device Learning (AI-0433).md,MOVE,MEDIUM,LOW
Opcodes.md,/home/user/logseq/mainKnowledgeGraph/pages/Opcodes.md,,Blockchain,blockchain-knowledge-graph,/home/user/logseq/mainKnowledgeGraph/blockchain-knowledge-graph/pages/Opcodes.md,MOVE,HIGH,HIGH
Open World.md,/home/user/logseq/mainKnowledgeGraph/pages/Open World.md,,Creative/NFT,blockchain-knowledge-graph,/home/user/logseq/mainKnowledgeGraph/blockchain-knowledge-graph/pages/Open World.md,MOVE,LOW-MEDIUM,MEDIUM
Optimal Control.md,/home/user/logseq/mainKnowledgeGraph/pages/Optimal Control.md,RB-0060,Robotics,robotics-knowledge-graph,/home/user/logseq/mainKnowledgeGraph/robotics-knowledge-graph/pages/Optimal Control.md,MOVE,EXCLUDE,NONE
Orphan Block.md,/home/user/logseq/mainKnowledgeGraph/pages/Orphan Block.md,,Blockchain,blockchain-knowledge-graph,/home/user/logseq/mainKnowledgeGraph/blockchain-knowledge-graph/pages/Orphan Block.md,MOVE,HIGH,HIGH
Output.md,/home/user/logseq/mainKnowledgeGraph/pages/Output.md,,Blockchain,blockchain-knowledge-graph,/home/user/logseq/mainKnowledgeGraph/blockchain-knowledge-graph/pages/Output.md,MOVE,HIGH,HIGH
Overfitting.md,/home/user/logseq/mainKnowledgeGraph/pages/Overfitting.md,,AI/ML,ai-ml-knowledge-graph,/home/user/logseq/mainKnowledgeGraph/ai-ml-knowledge-graph/pages/Overfitting.md,MOVE,MEDIUM,LOW
Partition Attack.md,/home/user/logseq/mainKnowledgeGraph/pages/Partition Attack.md,,Blockchain,blockchain-knowledge-graph,/home/user/logseq/mainKnowledgeGraph/blockchain-knowledge-graph/pages/Partition Attack.md,MOVE,HIGH,HIGH
Payload.md,/home/user/logseq/mainKnowledgeGraph/pages/Payload.md,RB-0033,Robotics,robotics-knowledge-graph,/home/user/logseq/mainKnowledgeGraph/robotics-knowledge-graph/pages/Payload.md,MOVE,EXCLUDE,NONE
Peer Discovery.md,/home/user/logseq/mainKnowledgeGraph/pages/Peer Discovery.md,,Blockchain,blockchain-knowledge-graph,/home/user/logseq/mainKnowledgeGraph/blockchain-knowledge-graph/pages/Peer Discovery.md,MOVE,HIGH,HIGH
Peer-to-Peer Network.md,/home/user/logseq/mainKnowledgeGraph/pages/Peer-to-Peer Network.md,,Blockchain,blockchain-knowledge-graph,/home/user/logseq/mainKnowledgeGraph/blockchain-knowledge-graph/pages/Peer-to-Peer Network.md,MOVE,HIGH,HIGH
Performance Level.md,/home/user/logseq/mainKnowledgeGraph/pages/Performance Level.md,RB-0101,Robotics,robotics-knowledge-graph,/home/user/logseq/mainKnowledgeGraph/robotics-knowledge-graph/pages/Performance Level.md,MOVE,EXCLUDE,NONE
Physics-Based Animation.md,/home/user/logseq/mainKnowledgeGraph/pages/Physics-Based Animation.md,,Creative/NFT,blockchain-knowledge-graph,/home/user/logseq/mainKnowledgeGraph/blockchain-knowledge-graph/pages/Physics-Based Animation.md,MOVE,LOW-MEDIUM,MEDIUM
Pid Controller.md,/home/user/logseq/mainKnowledgeGraph/pages/Pid Controller.md,RB-0048,Robotics,robotics-knowledge-graph,/home/user/logseq/mainKnowledgeGraph/robotics-knowledge-graph/pages/Pid Controller.md,MOVE,EXCLUDE,NONE
Pool Share.md,/home/user/logseq/mainKnowledgeGraph/pages/Pool Share.md,,Blockchain,blockchain-knowledge-graph,/home/user/logseq/mainKnowledgeGraph/blockchain-knowledge-graph/pages/Pool Share.md,MOVE,HIGH,HIGH
Position Control.md,/home/user/logseq/mainKnowledgeGraph/pages/Position Control.md,RB-0054,Robotics,robotics-knowledge-graph,/home/user/logseq/mainKnowledgeGraph/robotics-knowledge-graph/pages/Position Control.md,MOVE,EXCLUDE,NONE
Post-Quantum Cryptography.md,/home/user/logseq/mainKnowledgeGraph/pages/Post-Quantum Cryptography.md,,Governance,blockchain-knowledge-graph,/home/user/logseq/mainKnowledgeGraph/blockchain-knowledge-graph/pages/Post-Quantum Cryptography.md,MOVE,HIGH,HIGH
Power And Force Limiting.md,/home/user/logseq/mainKnowledgeGraph/pages/Power And Force Limiting.md,RB-0094,Robotics,robotics-knowledge-graph,/home/user/logseq/mainKnowledgeGraph/robotics-knowledge-graph/pages/Power And Force Limiting.md,MOVE,EXCLUDE,NONE
Preimage Resistance.md,/home/user/logseq/mainKnowledgeGraph/pages/Preimage Resistance.md,,Blockchain,blockchain-knowledge-graph,/home/user/logseq/mainKnowledgeGraph/blockchain-knowledge-graph/pages/Preimage Resistance.md,MOVE,HIGH,HIGH
Presence.md,/home/user/logseq/mainKnowledgeGraph/pages/Presence.md,,Robotics,REVIEW,PENDING_REVIEW,REVIEW,LOW,UNKNOWN
Privacy Impact Assessment (PIA).md,/home/user/logseq/mainKnowledgeGraph/pages/Privacy Impact Assessment (PIA).md,,Governance,REVIEW,PENDING_REVIEW,REVIEW,LOW,UNKNOWN
Private Key.md,/home/user/logseq/mainKnowledgeGraph/pages/Private Key.md,,Blockchain,blockchain-knowledge-graph,/home/user/logseq/mainKnowledgeGraph/blockchain-knowledge-graph/pages/Private Key.md,MOVE,HIGH,HIGH
Protective Stop.md,/home/user/logseq/mainKnowledgeGraph/pages/Protective Stop.md,RB-0092,Robotics,robotics-knowledge-graph,/home/user/logseq/mainKnowledgeGraph/robotics-knowledge-graph/pages/Protective Stop.md,MOVE,EXCLUDE,NONE
Proximity Sensor.md,/home/user/logseq/mainKnowledgeGraph/pages/Proximity Sensor.md,RB-0071,Robotics,robotics-knowledge-graph,/home/user/logseq/mainKnowledgeGraph/robotics-knowledge-graph/pages/Proximity Sensor.md,MOVE,EXCLUDE,NONE
Pruned Node.md,/home/user/logseq/mainKnowledgeGraph/pages/Pruned Node.md,,Blockchain,blockchain-knowledge-graph,/home/user/logseq/mainKnowledgeGraph/blockchain-knowledge-graph/pages/Pruned Node.md,MOVE,HIGH,HIGH
Reality Capture System.md,/home/user/logseq/mainKnowledgeGraph/pages/Reality Capture System.md,,Robotics,robotics-knowledge-graph,/home/user/logseq/mainKnowledgeGraph/robotics-knowledge-graph/pages/Reality Capture System.md,MOVE,EXCLUDE,NONE
Regularisation.md,/home/user/logseq/mainKnowledgeGraph/pages/Regularisation.md,,AI/ML,ai-ml-knowledge-graph,/home/user/logseq/mainKnowledgeGraph/ai-ml-knowledge-graph/pages/Regularisation.md,MOVE,MEDIUM,LOW
Repeatability.md,/home/user/logseq/mainKnowledgeGraph/pages/Repeatability.md,RB-0034,Robotics,robotics-knowledge-graph,/home/user/logseq/mainKnowledgeGraph/robotics-knowledge-graph/pages/Repeatability.md,MOVE,EXCLUDE,NONE
Reputation Scoring Model.md,/home/user/logseq/mainKnowledgeGraph/pages/Reputation Scoring Model.md,,AI/ML,ai-ml-knowledge-graph,/home/user/logseq/mainKnowledgeGraph/ai-ml-knowledge-graph/pages/Reputation Scoring Model.md,MOVE,MEDIUM,LOW
